using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
timeout detected, sending mode as 1
Time |8627042|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |610|SPY |-404|SAZ |14372|PHI |-746|THETA |432|PSI |-1446|Battery | 581|
Time |8727573|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |568|SPY |-424|SAZ |14400|PHI |-746|THETA |433|PSI |-1466|Battery | 560|
Time |8828036|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |572|SPY |-412|SAZ |14402|PHI |-746|THETA |433|PSI |-1485|Battery | 574|
Time |8928937|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |570|SPY |-402|SAZ |14380|PHI |-747|THETA |433|PSI |-1504|Battery | 602|
Time |9029099|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |574|SPY |-406|SAZ |14410|PHI |-746|THETA |433|PSI |-1523|Battery | 560|
Time |9129558|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |586|SPY |-412|SAZ |14374|PHI |-747|THETA |434|PSI |-1542|Battery | 574|
Time |9230047|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |596|SPY |-402|SAZ |14384|PHI |-747|THETA |434|PSI |-1561|Battery | 581|
Time |9330538|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |558|SPY |-410|SAZ |14380|PHI |-747|THETA |434|PSI |-1580|Battery | 560|
Time |9431040|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |584|SPY |-426|SAZ |14400|PHI |-748|THETA |435|PSI |-1599|Battery | 595|
Time |9531502|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |554|SPY |-420|SAZ |14382|PHI |-749|THETA |435|PSI |-1618|Battery | 581|
