using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |8526231|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-27|SQ |-1|SR |-89|SAX |288|SPY |32|SAZ |14392|PHI |-392|THETA |165|PSI |1037|Battery | 581|
Time |8626745|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-17|SQ |-4|SR |-60|SAX |248|SPY |-128|SAZ |14400|PHI |-392|THETA |166|PSI |953|Battery | 581|
Time |8727245|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-23|SQ |-4|SR |-23|SAX |100|SPY |-82|SAZ |14376|PHI |-392|THETA |165|PSI |899|Battery | 560|
Time |8828096|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-15|SQ |-1|SR |-15|SAX |308|SPY |-40|SAZ |14382|PHI |-387|THETA |168|PSI |890|Battery | 574|
Time |8928568|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-15|SQ |-3|SR |-18|SAX |314|SPY |-12|SAZ |14372|PHI |-377|THETA |171|PSI |873|Battery | 581|
Time |9028746|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |10|SR |-17|SAX |288|SPY |42|SAZ |14404|PHI |-371|THETA |169|PSI |855|Battery | 560|
Time |9129242|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |-1|SR |-17|SAX |266|SPY |22|SAZ |14376|PHI |-367|THETA |167|PSI |836|Battery | 574|
Time |9229728|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-24|SQ |-5|SR |-16|SAX |296|SPY |10|SAZ |14356|PHI |-366|THETA |174|PSI |818|Battery | 581|
Time |9330614|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-19|SQ |-6|SR |-18|SAX |270|SPY |60|SAZ |14390|PHI |-361|THETA |179|PSI |801|Battery | 560|
Time |9430709|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |1|SR |-17|SAX |274|SPY |28|SAZ |14386|PHI |-361|THETA |180|PSI |782|Battery | 602|
Time |9531242|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-17|SQ |3|SR |-17|SAX |314|SPY |46|SAZ |14380|PHI |-361|THETA |180|PSI |764|Battery | 581|
Time |9631733|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-5|SR |-17|SAX |264|SPY |34|SAZ |14364|PHI |-357|THETA |181|PSI |746|Battery | 560|
Time |9732837|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-16|SQ |5|SR |-17|SAX |268|SPY |30|SAZ |14400|PHI |-358|THETA |179|PSI |729|Battery | 574|
Time |9832844|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-5|SR |-18|SAX |252|SPY |76|SAZ |14372|PHI |-350|THETA |177|PSI |710|Battery | 581|
Time |9933204|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |266|SPY |62|SAZ |14398|PHI |-354|THETA |183|PSI |692|Battery | 560|
Time |10033720|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-3|SR |-21|SAX |232|SPY |68|SAZ |14376|PHI |-358|THETA |184|PSI |673|Battery | 574|
Time |10134212|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-16|SQ |16|SR |-18|SAX |286|SPY |14|SAZ |14416|PHI |-359|THETA |177|PSI |652|Battery | 581|
Time |10234696|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-22|SQ |5|SR |-20|SAX |198|SPY |68|SAZ |14362|PHI |-353|THETA |159|PSI |632|Battery | 560|
